AEP1,AEP2,AEP3,AEP4,AEP5,AEP6,AEP7,AEP8,AEP9,AEP10,AEP11,AEP12,AEP13,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,RPM,DIAM,POWER,CP
4008.3,4953.3,5884.7,6777.6,7616.5,8393.2,9103.4,9745.4,10318,10823,11258,11627,11929,36233,1.25E+05,2.72E+05,4.89E+05,7.87E+05,1.16E+06,1.57E+06,1.88E+06,1.98E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,13.022,110,2.00E+06,0.43
4033.5,4985.7,5922.9,6820,7661.9,8440.2,9151.1,9792.9,10365,10868,11303,11670,11971,36233,1.25E+05,2.72E+05,4.89E+05,7.88E+05,1.17E+06,1.60E+06,1.90E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,13.89,110,2.00E+06,0.43
4044.7,5000.1,5940,6839.1,7682.3,8461.4,9172.6,9814.4,10387,10889,11323,11689,11989,36233,1.25E+05,2.72E+05,4.89E+05,7.89E+05,1.18E+06,1.62E+06,1.91E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,14.758,110,2.00E+06,0.43
4048.8,5005.6,5946.5,6846.4,7690.2,8469.6,9181,9822.8,10395,10897,11331,11697,11997,36233,1.25E+05,2.72E+05,4.89E+05,7.89E+05,1.18E+06,1.62E+06,1.91E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,15.626,110,2.00E+06,0.43
4049.5,5006.4,5947.5,6847.5,7691.4,8470.9,9182.3,9824.1,10396,10899,11332,11698,11998,36233,1.25E+05,2.72E+05,4.89E+05,7.89E+05,1.18E+06,1.62E+06,1.91E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,16.494,110,2.00E+06,0.43
4049.5,5006.4,5947.5,6847.6,7691.4,8470.9,9182.3,9824.1,10396,10899,11332,11698,11998,36233,1.25E+05,2.72E+05,4.89E+05,7.89E+05,1.18E+06,1.62E+06,1.91E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,17.362,110,2.00E+06,0.43
4049.5,5006.4,5947.5,6847.6,7691.4,8470.9,9182.3,9824.1,10396,10899,11332,11698,11998,36233,1.25E+05,2.72E+05,4.89E+05,7.89E+05,1.18E+06,1.62E+06,1.91E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,18.23,110,2.00E+06,0.43
4085,5038.4,5975,6870.6,7710.3,8486,9194.2,9833.3,10403,10904,11336,11700,11999,37753,1.29E+05,2.79E+05,5.01E+05,8.06E+05,1.19E+06,1.60E+06,1.89E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,13.022,110,2.00E+06,0.44
4108.8,5068.7,6010.6,6910.1,7752.3,8529.5,9238.1,9877.1,10446,10946,11376,11740,12037,37753,1.29E+05,2.79E+05,5.01E+05,8.07E+05,1.20E+06,1.63E+06,1.91E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,13.89,110,2.00E+06,0.44
4119.2,5082,6026.4,6927.7,7771.1,8548.9,9257.9,9896.8,10466,10965,11395,11757,12054,37753,1.29E+05,2.79E+05,5.01E+05,8.07E+05,1.21E+06,1.64E+06,1.92E+06,1.99E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,2.00E+06,14.758,110,2.00E+06,0.44
